2025-10-19 08:22:13 BST LOG:  database system was interrupted; last known up at 2025-10-08 08:55:47 BST
2025-10-19 08:22:14 BST LOG:  database system was not properly shut down; automatic recovery in progress
2025-10-19 08:22:14 BST LOG:  redo starts at 0/BF15588
2025-10-19 08:22:14 BST LOG:  invalid record length at 0/BF15690: expected at least 24, got 0
2025-10-19 08:22:14 BST LOG:  redo done at 0/BF15658 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-10-19 08:22:14 BST LOG:  checkpoint starting: end-of-recovery immediate wait
2025-10-19 08:22:14 BST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.014 s, total=0.055 s; sync files=2, longest=0.008 s, average=0.007 s; distance=0 kB, estimate=0 kB; lsn=0/BF15690, redo lsn=0/BF15690
2025-10-19 10:31:51 BST ERROR:  canceling statement due to user request
2025-10-19 10:31:51 BST ERROR:  canceling statement due to user request
2025-10-19 10:31:51 BST LOG:  shutting down
2025-10-19 10:31:51 BST LOG:  checkpoint starting: shutdown immediate
2025-10-19 10:31:51 BST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.013 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/BF15740, redo lsn=0/BF15740
